language	book	k	kmer	count	frequency
dutch	camera_obscura	3	OUB	61	0.00016765058320415994
dutch	camera_obscura	3	BLE	291	0.0007997757329903367
dutch	camera_obscura	3	LED	436	0.0011982894143772742
dutch	camera_obscura	3	EDA	787	0.0021629673603553094
dutch	camera_obscura	3	DAY	150	0.0004122555324692457
dutch	camera_obscura	3	AYP	6	1.649022129876983e-05
dutch	camera_obscura	3	YPA	22	6.046414476215604e-05
dutch	camera_obscura	3	PAG	14	3.8477183030462935e-05
dutch	camera_obscura	3	GEC	16	4.397392346338621e-05
dutch	camera_obscura	3	COM	304	0.0008355045458043381
dutch	camera_obscura	3	OMP	90	0.00024735331948154746
dutch	camera_obscura	3	MPA	81	0.0002226179875333927
dutch	camera_obscura	3	PAN	145	0.00039851368138693757
dutch	camera_obscura	3	ANY	151	0.0004150039026857074
dutch	camera_obscura	3	NYF	5	1.3741851082308191e-05
dutch	camera_obscura	3	YFO	62	0.00017039895342062158
dutch	camera_obscura	3	FOR	1032	0.002836318063388411
dutch	camera_obscura	3	ORP	17	4.672229367984785e-05
dutch	camera_obscura	3	RPF	3	8.245110649384915e-06
dutch	camera_obscura	3	PFC	1	2.7483702164616382e-06
dutch	camera_obscura	3	FCO	45	0.00012367665974077373
dutch	camera_obscura	3	COL	68	0.0001868891747193914
dutch	camera_obscura	3	OLL	154	0.0004232490133350923
dutch	camera_obscura	3	LLI	165	0.0004534810857161703
dutch	camera_obscura	3	LIE	107	0.0002940756131613953
dutch	camera_obscura	3	IER	42	0.00011543154909138881
dutch	camera_obscura	3	ERS	578	0.001588557985114827
dutch	camera_obscura	3	RSO	100	0.0002748370216461638
dutch	camera_obscura	3	SON	202	0.0005551707837252509
dutch	camera_obscura	3	ONC	99	0.0002720886514297022
dutch	camera_obscura	3	NCO	72	0.00019788265558523795
dutch	camera_obscura	3	NYN	1	2.7483702164616382e-06
dutch	camera_obscura	3	YNE	20	5.4967404329232765e-05
dutch	camera_obscura	3	NEW	180	0.0004947066389630949
